종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
640,동아쏘시오홀딩스,KOSPI,,86800,-100,-0.12,86500,87400,85300,7842,681407300,5.51086E+11,6348913
170900,동아에스티,KOSPI,,54500,-1700,-3.02,56000,56600,54500,12604,699311100,4.69502E+11,8614708
88130,동아엘텍,KOSDAQ,우량기업부,7090,10,0.14,6980,7320,6910,21757,152444350,75600230420,10662938
28100,동아지질,KOSPI,,11840,-280,-2.31,12090,12120,11400,18209,217559390,1.66383E+11,14052646
282690,동아타이어,KOSPI,,11380,100,0.89,11310,11400,11250,8274,93428880,1.56282E+11,13733015
41930,동아화성,KOSDAQ,우량기업부,8000,-140,-1.72,8150,8240,7990,60258,486030680,1.264E+11,15800000
1520,동양,KOSPI,,961,-16,-1.64,977,990,959,214256,208939283,2.29375E+11,238684063
1527,동양2우B,KOSPI,,10980,420,3.98,10300,10980,10270,2459,26404030,3388087620,308569
84670,동양고속,KOSPI,,14220,-150,-1.04,14280,14330,14220,636,9089450,41174991180,2895569
82640,동양생명,KOSPI,,3710,0,0,3705,3745,3695,108287,402764210,5.9864E+11,161358585
60380,동양에스텍,KOSDAQ,우량기업부,2455,-5,-0.2,2455,2495,2420,126465,310012460,48363500000,19700000
1525,동양우,KOSPI,,5060,-110,-2.13,5240,5240,5060,1076,5604630,3125718860,617731
79960,동양이엔피,KOSDAQ,우량기업부,20150,50,0.25,20100,20300,19850,60243,1205997810,1.58379E+11,7860000
8970,동양철관,KOSPI,,908,0,0,906,928,905,471788,431052332,1.07948E+11,118885290
228340,동양파일,KOSDAQ,중견기업부,3155,-30,-0.94,3145,3180,3120,17399,54704680,63100000000,20000000
92780,동양피스톤,KOSPI,,5580,-50,-0.89,5580,5660,5520,21995,122959800,73480006800,13168460
88910,동우팜투테이블,KOSDAQ,중견기업부,2695,-30,-1.1,2725,2750,2685,104966,283801885,69616603980,25831764
94170,동운아나텍,KOSDAQ,벤처기업부,27150,800,3.04,26000,27150,25000,1482250,38599068350,4.93112E+11,18162522
49770,동원F&B,KOSPI,,27900,-200,-0.71,28000,28800,27550,16081,449254800,5.38348E+11,19295620
13120,동원개발,KOSDAQ,우량기업부,3395,-30,-0.88,3410,3425,3375,40053,136134065,3.08293E+11,90808100
18500,동원금속,KOSPI,,2510,-80,-3.09,2580,2675,2470,1344583,3396252505,1.17355E+11,46754933
6040,동원산업,KOSPI,,39450,-350,-0.88,39700,39950,39200,21435,846164350,1.97182E+12,49982665
30720,동원수산,KOSPI,,9300,-200,-2.11,9500,9580,9230,32962,309284440,43280386500,4653805
14820,동원시스템즈,KOSPI,,36700,-700,-1.87,37700,38000,36500,81883,3030122100,1.06398E+12,28991282
14825,동원시스템즈우,KOSPI,,23950,200,0.84,23750,23950,23750,34,812700,6325458450,264111
163560,동일고무벨트,KOSPI,,6490,0,0,6490,6550,6410,7854,50892740,90211000000,13900000
