Company,items
STX엔진,"엔진,터빈,내연기관 제조,도매"
가온전선,"전력선,통신케이블 제조,도매,수출입"
강남제비스코,"도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매"
광명전기,"수배전반,가스절연개폐장치,빌딩자동화시스템,중앙감시반,자동제어반 제조,도소매,무역"
노루홀딩스,지주사업
다스코,"데크플레이트,도로안전시설물(가드레일,강재방호책),건축용단열재보드(경질우레탄보드),신재생에너지사업"
대동,"경운기,트랙터,이앙기,바인더,수확기(콤바인),농업용엔진 및 부품 제조,판매"
대창단조,"자동차,중장비 부품(크랭크샤프트,트랙링크조립체,커넥팅로드,중장비롤러류),기어,동력전달장치,단조가공품,단조품 제조"
동부건설,"건축공사,토목공사,전기공사,기계설비공사/비금속,철구조물 제조,판매/여객,자동차 운송,항만하역"
삼성중공업,"선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업"
아시아나항공,"항공운송(여객운송,화물운송)/항공기 제조,정비수리"
에스원,"부가통신 서비스(경비),안전관리용역,CCTV카메라"
엔케이,"고압가스용기,선박용,육상용 소화설비장치,천연가스이동식충전소 제조,도매"
우진아이엔에스,반도체/디스플레이 코팅덕트
유수홀딩스,지주사업
제주항공,"여객운송서비스, 화물운송서비스"
진흥기업,"아파트건설,토목공사,건축공사,국내도급공사"
천일고속,"고속버스운수(경부선,44개 노선),도로여객운수업,운수창고업,유류판매,부동산 임대"
한익스프레스,"특수화물 운송(유류,화학류,벌크제품 등),냉동차,탱크로리운송,복합운송 주선,임대,택배/특장차,중기 제조,판매"
한창,"소화기, 통신장비 유통"
현대코퍼레이션,"자동차,철강,기계,선박,플랜트,컴퓨터,전자제품 수출,수출입대행/자원(탄광,유전) 개발"
흥아해운,외항화물운송업(케미컬탱커)
CNT85,산업설비 제조외
금화피에스시,"설비,철물,전기,강구조물"
누리플랜,"경관조명, 경관시설"
로보티즈,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼"
모헨즈,레미콘
보성파워텍,송배전용자재
비엠티,"정밀계장용피팅및밸브류,전원분배장치(MCPD)"
삼영이엔씨,"GMDSS장비, GPS플로터 등"
서희건설,"토목, 건축, 부동산임대업"
신원종합개발,토건
양지사,다이어리
에스피시스템스,산업용 갠트리 로봇
에코프로에이치엔,환경오염 방지 관련 소재 및 설비
프럼파스트,주택건설용 플라스틱 배관
하이록코리아,관이음쇠
한국기업평가,"신용평가, 컨설팅, 위험관리솔루션"
한라IMS,"선용원격자동측정시스템,선용원격자동경보시스템"
홈센타홀딩스,"건축자재,레미콘"
